Name,TimeStamp
Ardle,0:02:36.823333
Ardle,0:02:36.990167
Ardle,0:02:37.157000
Dad,0:02:37.323833
Dad,0:02:37.490667
Dad,0:02:37.657500
Dad,0:02:37.824333
Dad,0:02:37.991167
Dad,0:02:38.158000
Dad,0:02:38.324833
Mom,0:02:38.491667
Mom,0:02:38.658500
Mom,0:02:38.825333
Mom,0:02:39.159000
Mom,0:02:39.492667
Mom,0:02:39.826333
Mom,0:02:39.993167
Mom,0:02:40.160000
Ardle,0:02:40.660500
Ardle,0:02:40.827333
Ardle,0:02:40.994167
Ardle,0:02:41.161000
Ardle,0:02:41.327833
Ardle,0:02:41.494667
Ardle,0:02:41.661500
Ardle,0:02:41.828333
Ardle,0:02:41.995167
Ardle,0:02:42.162000
Ardle,0:02:42.328833
Ardle,0:02:42.495667
Ardle,0:02:42.662500
Ardle,0:02:42.829333
Ardle,0:02:42.996167
Ardle,0:02:43.163000
Ardle,0:02:43.329833
Ardle,0:02:43.496667
Dad,0:02:43.663500
Dad,0:02:43.830333
Ardle,0:02:44.497667
Dad,0:02:44.664500
Dad,0:02:44.831333
Dad,0:02:44.998167
Dad,0:02:45.165000
Dad,0:02:45.331833
Dad,0:02:45.498667
Dad,0:02:45.665500
Dad,0:02:45.832333
Dad,0:02:45.999167
Dad,0:02:46.166000
Dad,0:02:46.332833
Dad,0:02:46.499667
Dad,0:02:46.666500
Dad,0:02:46.833333
Dad,0:02:47.000167
Dad,0:02:47.167000
Dad,0:02:47.333833
Dad,0:02:47.500667
Dad,0:02:47.667500
Dad,0:02:47.834333
Ardle,0:02:48.001167
Ardle,0:02:48.168000
Ardle,0:02:48.334833
Ardle,0:02:48.501667
Ardle,0:02:48.668500
Ardle,0:02:48.835333
Ardle,0:02:49.002167
Ardle,0:02:49.169000
Ardle,0:02:49.335833
Ardle,0:02:49.502667
Ardle,0:02:49.669500
Ardle,0:02:49.836333
Dad,0:02:52.338833
Dad,0:02:55.842333
Dad,0:02:56.009167
Dad,0:02:56.176000
Dad,0:02:56.342833
Dad,0:02:56.509667
Dad,0:02:56.676500
Dad,0:02:56.843333
Dad,0:02:57.010167
Dad,0:02:57.177000
Dad,0:02:57.343833
Dad,0:02:57.510667
Dad,0:02:57.677500
Ardle,0:03:00.180000
Ardle,0:03:00.346833
Ardle,0:03:00.513667
Ardle,0:03:00.680500
Ardle,0:03:00.847333
Ardle,0:03:01.014167
Ardle,0:03:01.181000
Ardle,0:03:01.347833
Ardle,0:03:01.514667
Ardle,0:03:01.681500
Dad,0:03:03.516667
Dad,0:03:03.683500
Dad,0:03:03.850333
Dad,0:03:08.521667
Mom,0:03:46.893333
Ardle,0:03:54.734500
Ardle,0:03:54.901333
Ardle,0:03:55.068167
Ardle,0:03:55.235000
Ardle,0:03:55.401833
Ardle,0:03:55.568667
Ardle,0:03:55.735500
Ardle,0:03:55.902333
Ardle,0:03:56.069167
Ardle,0:03:56.236000
Ardle,0:03:56.402833
Miss,0:03:56.569667
Miss,0:03:56.736500
Miss,0:03:56.903333
Miss,0:03:57.070167
Miss,0:03:57.237000
Miss,0:03:57.403833
Miss,0:04:00.073167
Miss,0:04:00.240000
Miss,0:04:00.406833
Miss,0:04:00.573667
Miss,0:04:00.740500
Miss,0:04:00.907333
Miss,0:04:01.074167
Miss,0:04:01.241000
Miss,0:04:01.407833
Ardle,0:04:05.411833
Ardle,0:04:05.578667
Ardle,0:04:05.745500
Ardle,0:04:05.912333
Ardle,0:04:06.079167
Ardle,0:04:06.246000
Ardle,0:04:06.412833
Ardle,0:04:06.579667
Ardle,0:04:06.746500
Ardle,0:04:06.913333
Ardle,0:04:07.080167
Ardle,0:04:07.247000
Ardle,0:04:07.413833
Ardle,0:04:07.580667
Ardle,0:04:07.747500
Ardle,0:04:07.914333
Ardle,0:04:08.081167
Ardle,0:04:08.248000
Ardle,0:04:08.414833
Ardle,0:04:11.584667
Mom,0:04:11.751500
Mom,0:04:11.918333
Mom,0:04:12.085167
Mom,0:04:12.252000
Boy_Friend,0:04:12.919333
Boy_Friend,0:04:13.086167
Boy_Friend,0:04:13.419833
Miss,0:04:13.586667
Boy_Friend,0:04:13.586667
Boy_Friend,0:04:13.753500
Boy_Friend,0:04:13.920333
Boy_Friend,0:04:14.087167
Boy_Friend,0:04:14.254000
Boy_Friend,0:04:14.754500
Boy_Friend,0:04:14.921333
Ardle,0:04:15.088167
Ardle,0:04:15.255000
Ardle,0:04:15.421833
Ardle,0:04:15.588667
Ardle,0:04:15.755500
Ardle,0:04:15.922333
Ardle,0:04:16.089167
Ardle,0:04:16.256000
Ardle,0:04:16.422833
Ardle,0:04:16.589667
Ardle,0:04:16.756500
Ardle,0:04:16.923333
Ardle,0:04:17.090167
Ardle,0:04:17.257000
Ardle,0:04:17.423833
Ardle,0:04:17.590667
Ardle,0:04:17.757500
Ardle,0:04:17.924333
Ardle,0:04:18.091167
Ardle,0:04:18.258000
Ardle,0:04:18.424833
Ardle,0:04:18.591667
Ardle,0:04:18.758500
Ardle,0:04:18.925333
Ardle,0:04:19.092167
Ardle,0:04:19.259000
Ardle,0:04:19.425833
Ardle,0:04:19.592667
Ardle,0:04:19.759500
Ardle,0:04:19.926333
Ardle,0:04:20.093167
Ardle,0:04:20.260000
Miss,0:04:20.426833
Miss,0:04:20.593667
Boy_Friend,0:04:20.760500
Miss,0:04:20.760500
Boy_Friend,0:04:20.927333
Miss,0:04:20.927333
Miss,0:04:21.094167
Boy_Friend,0:04:21.261000
Miss,0:04:21.261000
Boy_Friend,0:04:21.427833
Miss,0:04:21.427833
Boy_Friend,0:04:21.594667
Miss,0:04:21.594667
Boy_Friend,0:04:21.761500
Miss,0:04:21.761500
Boy_Friend,0:04:21.928333
Miss,0:04:21.928333
Boy_Friend,0:04:22.095167
Miss,0:04:22.095167
Boy_Friend,0:04:22.262000
Miss,0:04:22.262000
Boy_Friend,0:04:22.428833
Miss,0:04:22.428833
Boy_Friend,0:04:22.595667
Miss,0:04:22.595667
Boy_Friend,0:04:22.762500
Miss,0:04:22.762500
Boy_Friend,0:04:22.929333
Miss,0:04:22.929333
